ticker,date,Open,High,Low,Close,Adj Close,Volume,Return,Log_Return,SMA_20,SMA_50,SMA_200,EMA_12,EMA_26,RSI,MACD,MACD_Signal,MACD_Hist,ATR,ATR_Pct,BB_Width,BB_Position,Volume_MA_20,Volume_Spike,Volume_ZScore,Volatility_20D,Annualized_Volatility,Volatility_ZScore,Daily_Range,Gap,Close_Position,Distance_SMA20,Distance_SMA50,Distance_SMA200,Close_Above_SMA20,Close_Above_SMA50,Close_Above_SMA200,MACD_Bullish,sentiment_score,average_confidence,news_count,positive_count,negative_count,neutral_count,positive_ratio,negative_ratio,neutral_ratio,dominant_label,future_return_5d,label,label_id,binary_label,target_horizon,buy_threshold,sell_threshold,target_return,target_direction,risk_adjusted_future_return
AAPL,2021-05-27,126.44000244140624,127.63999938964844,125.08000183105467,125.27999877929688,122.1169204711914,94625600,,,,,,,,50.0,0.0,0.0,0.0,,,,,,1.0,0.0,0.0,0.0,,0.020434208042288,,,,,,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,neutral,0.004869098150505069,HOLD,1,1,5,0.025,-0.025,0.004869098150505069,1,
AAPL,2021-05-28,125.56999969482422,125.8000030517578,124.5500030517578,124.61000061035156,121.46383666992188,71311100,-0.0053480058706388,-0.0053623576458232,,,,,,50.0,0.0,0.0,0.0,,,,,,1.0,0.0,0.0,0.0,,0.0100312975995295,0.0023148221452191,,,,,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,neutral,0.010352306469856298,HOLD,1,1,5,0.025,-0.025,0.010352306469856298,1,
AAPL,2021-06-01,125.08000183105467,125.3499984741211,123.94000244140624,124.27999877929688,121.14218139648438,67637100,-0.0026482772605593,-0.0026517901502249,,,,,,50.0,0.0,0.0,0.0,,,,,,1.0,0.0,0.0,0.0,,0.0113453174007411,0.0037717776936121,,,,,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,neutral,0.019794006345632775,HOLD,1,1,5,0.025,-0.025,0.019794006345632775,1,
AAPL,2021-06-02,124.27999877929688,125.23999786376952,124.0500030517578,125.05999755859376,121.90247344970705,59278900,0.0062761408670597,0.0062565279146264,,,,125.0421744873158,,50.0,0.0,0.0,0.0,,,,,,1.0,0.0,0.0,0.0,,0.00951539129412,0.0,,,,,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,neutral,0.016552052896485536,HOLD,1,1,5,0.025,-0.025,0.016552052896485536,1,
AAPL,2021-06-03,124.68000030517578,124.8499984741211,123.12999725341795,123.54000091552734,120.42083740234376,76229200,-0.0121541393950072,-0.0122286049387425,,,,124.81107086088682,,50.0,0.0,0.0,0.0,,,,,,1.0,0.0,0.0,0.0,,0.0139226259345684,-0.0030385195972831,,,,,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,neutral,0.02080297616786897,HOLD,1,1,5,0.025,-0.025,0.02080297616786897,1,
AAPL,2021-06-04,124.06999969482422,126.16000366210938,123.8499984741211,125.88999938964844,122.7115249633789,75169300,0.0190221665590559,0.0188435072513455,124.77666600545248,,,124.97705986531167,,50.0,0.0,0.0,0.0,,,0.0263452618420555,0.838679831768909,,1.0,0.0,0.0,0.0,,0.0183493939088717,0.0042900985540648,,0.0089226088485752,,,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,neutral,0.011597419108357876,HOLD,1,1,5,0.025,-0.025,0.011597419108357876,1,
AAPL,2021-06-07,126.16999816894533,126.31999969482422,124.83000183105467,125.9000015258789,122.72126770019533,71057600,7.945139629006448e-05,7.944824019504792e-05,124.93714250837054,,,125.11905089001432,,50.0,0.0,0.0,0.0,2.2447295118482087,0.0178294637382256,0.0275987378134431,0.7792427540245069,,1.0,0.0,0.0107705389545451,0.1709770053591603,,0.0118347724043772,0.002224154266855,,0.0077067475546261,,,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,neutral,0.03637803134354001,BUY,2,1,5,0.025,-0.025,0.03637803134354001,1,3.377549767664013
AAPL,2021-06-08,126.5999984741211,128.4600067138672,126.20999908447266,126.73999786376952,123.5400619506836,74403800,0.0066719327061959,0.0066497738700813,125.1624994277954,,,125.36842734751512,125.27342717512909,50.0,0.0950001723860367,0.0,0.0,2.267249203001071,0.0178889793373524,0.0326417786840381,0.8861187524051976,,1.0,0.0,0.0100735949585536,0.1599133624123624,,0.0177529404080708,0.0055599439218299,,0.0126036028617673,,,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,neutral,0.022881502088993866,HOLD,1,1,5,0.025,-0.025,0.022881502088993866,1,2.271433602714484
AAPL,2021-06-09,127.20999908447266,127.75,126.5199966430664,127.12999725341795,123.92020416259766,56877900,0.0030771610874384,0.0030724363173638,125.38111029730902,,,125.6394381022694,125.41095088463196,50.0,0.2284872176374364,0.0,0.0,2.193160213996251,0.0172513196049588,0.0369704952001211,0.8772891877662617,,1.0,0.0,0.009339039757132,0.1482526600890993,,0.0096751623024244,0.0037083890533777,,0.0139485681053701,,,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,neutral,0.02375518530883336,HOLD,1,1,5,0.025,-0.025,0.02375518530883336,1,2.5436432359860226
AAPL,2021-06-10,127.0199966430664,128.19000244140625,125.94000244140624,126.11000061035156,122.92596435546876,71186400,-0.0080232570211825,-0.0080556165498976,125.45399932861328,,,125.71183233428204,125.46273234579638,50.0,0.2490999884856677,0.1471780628461869,0.1019219256394808,2.1972201987108044,0.0174230448662011,0.0356026358424561,0.646871667310991,,1.0,0.0,0.0093378338923775,0.1482335175795668,,0.0178415667997016,-0.0008652608568242,,0.0052290184868475,,,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,neutral,0.04503998610967419,BUY,2,1,5,0.025,-0.025,0.04503998610967419,1,4.823386946992113
