ticker,date,Open,High,Low,Close,Adj Close,Volume,Return,Log_Return,SMA_20,SMA_50,SMA_200,EMA_12,EMA_26,RSI,MACD,MACD_Signal,MACD_Hist,ATR,ATR_Pct,BB_Width,BB_Position,Volume_MA_20,Volume_Spike,Volume_ZScore,Volatility_20D,Annualized_Volatility,Volatility_ZScore,Daily_Range,Gap,Close_Position,Distance_SMA20,Distance_SMA50,Distance_SMA200,Close_Above_SMA20,Close_Above_SMA50,Close_Above_SMA200,MACD_Bullish,sentiment_score,average_confidence,news_count,positive_count,negative_count,neutral_count,positive_ratio,negative_ratio,neutral_ratio,dominant_label
AAPL,2021-05-27,126.44000244140625,127.63999938964844,125.08000183105469,125.27999877929688,122.1169204711914,94625600,,,,,,,,50.0,0.0,0.0,0.0,,,,,,1.0,0.0,0.0,0.0,,0.02043420804228809,,,,,,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,neutral
AAPL,2021-05-28,125.56999969482422,125.80000305175781,124.55000305175781,124.61000061035156,121.46383666992188,71311100,-0.005348005870638883,-0.00536235764582328,,,,,,50.0,0.0,0.0,0.0,,,,,,1.0,0.0,0.0,0.0,,0.010031297599529587,0.002314822145219164,,,,,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,neutral
AAPL,2021-06-01,125.08000183105469,125.3499984741211,123.94000244140625,124.27999877929688,121.14218139648438,67637100,-0.002648277260559384,-0.002651790150224999,,,,,,50.0,0.0,0.0,0.0,,,,,,1.0,0.0,0.0,0.0,,0.011345317400741134,0.003771777693612144,,,,,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,neutral
AAPL,2021-06-02,124.27999877929688,125.23999786376953,124.05000305175781,125.05999755859375,121.90247344970703,59278900,0.006276140867059743,0.006256527914626482,,,,125.0421744873158,,50.0,0.0,0.0,0.0,,,,,,1.0,0.0,0.0,0.0,,0.009515391294120058,0.0,,,,,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,neutral
AAPL,2021-06-03,124.68000030517578,124.8499984741211,123.12999725341797,123.54000091552734,120.42083740234375,76229200,-0.012154139395007202,-0.012228604938742515,,,,124.81107086088682,,50.0,0.0,0.0,0.0,,,,,,1.0,0.0,0.0,0.0,,0.013922625934568401,-0.0030385195972831847,,,,,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,neutral
AAPL,2021-06-04,124.06999969482422,126.16000366210938,123.8499984741211,125.88999938964844,122.7115249633789,75169300,0.019022166559055975,0.018843507251345516,124.77666600545247,,,124.97705986531167,,50.0,0.0,0.0,0.0,,,0.02634526184205559,0.838679831768909,,1.0,0.0,0.0,0.0,,0.018349393908871733,0.004290098554064814,,0.008922608848575209,,,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,neutral
AAPL,2021-06-07,126.16999816894531,126.31999969482422,124.83000183105469,125.9000015258789,122.72126770019531,71057600,7.945139629006448e-05,7.944824019504792e-05,124.93714250837054,,,125.11905089001432,,50.0,0.0,0.0,0.0,2.2447295118482087,0.017829463738225623,0.027598737813443124,0.7792427540245069,,1.0,0.0,0.01077053895454514,0.1709770053591603,,0.011834772404377298,0.0022241542668550718,,0.007706747554626192,,,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,neutral
AAPL,2021-06-08,126.5999984741211,128.4600067138672,126.20999908447266,126.73999786376953,123.5400619506836,74403800,0.006671932706195927,0.006649773870081374,125.16249942779541,,,125.36842734751512,125.27342717512909,50.0,0.09500017238603675,0.0,0.0,2.267249203001071,0.017888979337352486,0.03264177868403817,0.8861187524051976,,1.0,0.0,0.010073594958553691,0.15991336241236248,,0.01775294040807088,0.005559943921829902,,0.012603602861767316,,,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,neutral
AAPL,2021-06-09,127.20999908447266,127.75,126.5199966430664,127.12999725341797,123.92020416259766,56877900,0.003077161087438496,0.0030724363173638206,125.38111029730902,,,125.63943810226941,125.41095088463197,50.0,0.2284872176374364,0.0,0.0,2.193160213996251,0.017251319604958827,0.036970495200121176,0.8772891877662617,,1.0,0.0,0.009339039757132088,0.14825266008909935,,0.009675162302424453,0.003708389053377781,,0.013948568105370152,,,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,neutral
AAPL,2021-06-10,127.0199966430664,128.19000244140625,125.94000244140625,126.11000061035156,122.92596435546875,71186400,-0.008023257021182562,-0.00805561654989767,125.45399932861328,,,125.71183233428205,125.46273234579638,50.0,0.24909998848566772,0.1471780628461869,0.10192192563948083,2.1972201987108044,0.01742304486620111,0.035602635842456196,0.646871667310991,,1.0,0.0,0.009337833892377502,0.14823351757956688,,0.017841566799701624,-0.000865260856824257,,0.0052290184868475365,,,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,neutral
